property,object,subject,DBPEDIA_COUNTRY
http://lod.springer.com/data/ontology/property/confCountry,http://lod.springer.com/data/conference/adaeurope2012,Sweden,http://dbpedia.org/resource/Sweden
http://lod.springer.com/data/ontology/property/confCountry,http://lod.springer.com/data/conference/adaeurope2008,Italy,http://dbpedia.org/resource/Italy
http://lod.springer.com/data/ontology/property/confCountry,http://lod.springer.com/data/conference/adaeurope1999,Spain,http://dbpedia.org/resource/Spain
http://lod.springer.com/data/ontology/property/confCountry,http://lod.springer.com/data/conference/adaeurope2004,Spain,http://dbpedia.org/resource/Spain
http://lod.springer.com/data/ontology/property/confCountry,http://lod.springer.com/data/conference/adaeurope2001,Belgium,http://dbpedia.org/resource/Belgium
http://lod.springer.com/data/ontology/property/confCountry,http://lod.springer.com/data/conference/adaeurope1991,Greece,http://dbpedia.org/resource/Greece
http://lod.springer.com/data/ontology/property/confCountry,http://lod.springer.com/data/conference/adaeurope2002,Austria,http://dbpedia.org/resource/Austria
http://lod.springer.com/data/ontology/property/confCountry,http://lod.springer.com/data/conference/adaeurope2007,Switzerland,http://dbpedia.org/resource/Switzerland
http://lod.springer.com/data/ontology/property/confCountry,http://lod.springer.com/data/conference/adaeurope1996,Switzerland,http://dbpedia.org/resource/Switzerland
http://lod.springer.com/data/ontology/property/confCountry,http://lod.springer.com/data/conference/adaeurope2000,Germany,http://dbpedia.org/resource/Germany
http://lod.springer.com/data/ontology/property/confCountry,http://lod.springer.com/data/conference/adaeurope1997,UK,http://dbpedia.org/resource/United_Kingdom
http://lod.springer.com/data/ontology/property/confCountry,http://lod.springer.com/data/conference/adaeurope1992,The Netherlands,http://dbpedia.org/resource/The_Netherlands
http://lod.springer.com/data/ontology/property/confCountry,http://lod.springer.com/data/conference/adaeurope2009,France,http://dbpedia.org/resource/France
http://lod.springer.com/data/ontology/property/confCountry,http://lod.springer.com/data/conference/adaeurope1998,Sweden,http://dbpedia.org/resource/Sweden
http://lod.springer.com/data/ontology/property/confCountry,http://lod.springer.com/data/conference/adbis2003,Germany,http://dbpedia.org/resource/Germany
http://lod.springer.com/data/ontology/property/confCountry,http://lod.springer.com/data/conference/adaeurope1994,Denmark,http://dbpedia.org/resource/Denmark
http://lod.springer.com/data/ontology/property/confCountry,http://lod.springer.com/data/conference/adbis2004,Hungary,http://dbpedia.org/resource/Hungary
http://lod.springer.com/data/ontology/property/confCountry,http://lod.springer.com/data/conference/adaeurope2006,Portugal,http://dbpedia.org/resource/Portugal
http://lod.springer.com/data/ontology/property/confCountry,http://lod.springer.com/data/conference/adbis2005,Estonia,http://dbpedia.org/resource/Estonia
http://lod.springer.com/data/ontology/property/confCountry,http://lod.springer.com/data/conference/adaeurope2003,France,http://dbpedia.org/resource/France
http://lod.springer.com/data/ontology/property/confCountry,http://lod.springer.com/data/conference/adbis2011,Austria,http://dbpedia.org/resource/Austria
http://lod.springer.com/data/ontology/property/confCountry,http://lod.springer.com/data/conference/adaeurope1993,France,http://dbpedia.org/resource/France
http://lod.springer.com/data/ontology/property/confCountry,http://lod.springer.com/data/conference/adbis2009,Latvia,http://dbpedia.org/resource/Latvia
http://lod.springer.com/data/ontology/property/confCountry,http://lod.springer.com/data/conference/adaeurope2010,Spain,http://dbpedia.org/resource/Spain
http://lod.springer.com/data/ontology/property/confCountry,http://lod.springer.com/data/conference/adbis2013,Italy,http://dbpedia.org/resource/Italy
http://lod.springer.com/data/ontology/property/confCountry,http://lod.springer.com/data/conference/adaeurope2014,France,http://dbpedia.org/resource/France
http://lod.springer.com/data/ontology/property/confCountry,http://lod.springer.com/data/conference/adbis2007,Bulgaria,http://dbpedia.org/resource/Bulgaria
http://lod.springer.com/data/ontology/property/confCountry,http://lod.springer.com/data/conference/adb1994,Sweden,http://dbpedia.org/resource/Sweden
http://lod.springer.com/data/ontology/property/confCountry,http://lod.springer.com/data/conference/adbis1999,Slovenia,http://dbpedia.org/resource/Slovenia
http://lod.springer.com/data/ontology/property/confCountry,http://lod.springer.com/data/conference/adbis2001,Lithuania,http://dbpedia.org/resource/Lithuania
http://lod.springer.com/data/ontology/property/confCountry,http://lod.springer.com/data/conference/adbis2002,Slovakia,http://dbpedia.org/resource/Slovakia
http://lod.springer.com/data/ontology/property/confCountry,http://lod.springer.com/data/conference/adbis1998,Poland,http://dbpedia.org/resource/Poland
http://lod.springer.com/data/ontology/property/confCountry,http://lod.springer.com/data/conference/adc2014,Australia,http://dbpedia.org/resource/Australia
http://lod.springer.com/data/ontology/property/confCountry,http://lod.springer.com/data/conference/adbis2012,Poland,http://dbpedia.org/resource/Poland
http://lod.springer.com/data/ontology/property/confCountry,http://lod.springer.com/data/conference/adcons2011,India,http://dbpedia.org/resource/India
http://lod.springer.com/data/ontology/property/confCountry,http://lod.springer.com/data/conference/adg2008,China,http://dbpedia.org/resource/China
http://lod.springer.com/data/ontology/property/confCountry,http://lod.springer.com/data/conference/adbis2014,Macedonia,http://dbpedia.org/resource/Republic_of_Macedonia
http://lod.springer.com/data/ontology/property/confCountry,http://lod.springer.com/data/conference/adg1998,China,http://dbpedia.org/resource/China
